timestamp,cpu_usage,memory_usage,net_io,disk_io,cloud_provider,region,vm_type,vCPU,RAM_GB,price_per_hour,target,latency_ms,throughput,cost,utilization
2024-01-01 02:05:00,70.98,11.49,280.44,303.85,GCP,us-west,n1-standard-1,1,3.75,0.0475,no_action,248.14,848.38,0.1366,41.23
2024-01-01 02:10:00,72.18,44.81,471.53,223.77,Azure,us-west,t2.micro,1,1.0,0.0116,no_action,233.67,1153.8,0.0174,58.5
2024-01-01 02:15:00,93.22,88.96,166.07,693.99,GCP,us-west,t2.micro,1,1.0,0.0116,scale_up,211.18,1887.16,0.0174,91.09
2024-01-01 02:20:00,57.67,31.77,91.9,907.49,Azure,us-west,B1s,1,1.0,0.012,no_action,257.88,933.49,0.018,44.72
2024-01-01 02:25:00,40.51,41.43,376.68,907.4,Azure,asia-south,t2.micro,1,1.0,0.0116,no_action,261.53,836.72,0.0174,40.97
2024-01-01 02:30:00,67.78,17.57,122.73,908.7,Azure,asia-south,t2.micro,1,1.0,0.0116,no_action,260.26,817.78,0.0174,42.67
2024-01-01 02:35:00,10.46,24.47,296.93,722.71,Azure,asia-south,t2.micro,1,1.0,0.0116,scale_down,270.62,382.13,0.0174,17.46
2024-01-01 02:40:00,74.1,31.35,196.43,771.84,AWS,us-west,n1-standard-1,1,3.75,0.0475,no_action,256.91,1075.14,0.1366,52.72
2024-01-01 02:45:00,69.19,61.15,92.15,430.94,GCP,asia-south,B1s,1,1.0,0.012,no_action,225.93,1262.61,0.018,65.17
2024-01-01 02:50:00,97.57,45.38,451.42,668.02,Azure,us-east,B1s,1,1.0,0.012,scale_up,228.66,1502.18,0.018,71.47
2024-01-01 02:55:00,61.92,54.33,137.86,750.21,GCP,us-east,t2.micro,1,1.0,0.0116,no_action,231.17,1186.62,0.0174,58.12
2024-01-01 03:00:00,94.64,95.85,461.69,433.14,AWS,us-west,n1-standard-1,1,3.75,0.0475,scale_up,209.49,1901.26,0.1366,95.25
2024-01-01 03:05:00,96.73,86.77,182.5,446.59,GCP,us-east,t2.micro,1,1.0,0.0116,scale_up,203.78,1877.82,0.0174,91.75
2024-01-01 03:10:00,25.25,60.11,471.27,726.43,Azure,asia-south,n1-standard-1,1,3.75,0.0475,no_action,248.48,861.29,0.1366,42.68
2024-01-01 03:15:00,65.35,99.1,113.04,566.5,AWS,asia-south,n1-standard-1,1,3.75,0.0475,scale_up,221.35,1672.54,0.1366,82.22
2024-01-01 03:20:00,72.73,73.22,211.77,364.23,GCP,asia-south,n1-standard-1,1,3.75,0.0475,no_action,232.18,1485.19,0.1366,72.97
2024-01-01 03:25:00,88.04,92.19,280.1,551.36,AWS,us-west,t2.micro,1,1.0,0.0116,scale_up,215.59,1859.08,0.0174,90.12
2024-01-01 03:30:00,73.18,81.62,450.5,404.2,AWS,asia-south,B1s,1,1.0,0.012,no_action,214.87,1536.16,0.018,77.4
2024-01-01 03:35:00,62.05,13.23,259.52,588.38,Azure,us-west,B1s,1,1.0,0.012,no_action,269.22,672.16,0.018,37.64
2024-01-01 03:40:00,12.75,13.36,420.17,424.17,Azure,us-west,B1s,1,1.0,0.012,scale_down,287.59,207.21,0.018,13.05
2024-01-01 03:45:00,79.3,29.42,330.3,176.81,GCP,us-west,t2.micro,1,1.0,0.0116,no_action,246.1,1054.62,0.0174,54.36
2024-01-01 03:50:00,58.66,67.37,376.74,978.27,AWS,asia-south,n1-standard-1,1,3.75,0.0475,no_action,216.73,1269.62,0.1366,63.02
2024-01-01 03:55:00,81.57,34.37,247.54,170.61,AWS,us-east,t2.micro,1,1.0,0.0116,no_action,247.08,1202.69,0.0174,57.97
2024-01-01 04:00:00,46.81,25.6,120.4,325.22,AWS,asia-south,t2.micro,1,1.0,0.0116,no_action,281.45,744.35,0.0174,36.2
2024-01-01 04:05:00,69.42,35.19,479.69,764.11,Azure,us-west,B1s,1,1.0,0.012,no_action,268.92,1097.72,0.018,52.3
2024-01-01 04:10:00,47.76,32.3,210.19,782.06,AWS,us-west,n1-standard-1,1,3.75,0.0475,no_action,264.41,839.33,0.1366,40.03
2024-01-01 04:15:00,52.68,18.81,271.23,526.12,Azure,us-west,B1s,1,1.0,0.012,no_action,261.73,652.51,0.018,35.74
2024-01-01 04:20:00,45.87,65.43,335.79,140.77,GCP,asia-south,t2.micro,1,1.0,0.0116,no_action,258.76,1041.21,0.0174,55.65
2024-01-01 04:25:00,55.28,87.08,346.41,246.64,Azure,asia-south,t2.micro,1,1.0,0.0116,scale_up,230.81,1393.59,0.0174,71.18
2024-01-01 04:30:00,12.39,62.72,473.1,617.93,Azure,asia-south,n1-standard-1,1,3.75,0.0475,no_action,278.31,689.21,0.1366,37.55
2024-01-01 04:35:00,51.24,59.11,473.66,447.49,Azure,us-west,t2.micro,1,1.0,0.0116,no_action,247.63,1072.37,0.0174,55.17
2024-01-01 04:40:00,16.41,38.71,430.19,120.94,GCP,us-west,t2.micro,1,1.0,0.0116,no_action,266.55,593.68,0.0174,27.56
2024-01-01 04:45:00,20.63,72.71,333.02,889.72,GCP,us-east,B1s,1,1.0,0.012,no_action,261.46,964.88,0.018,46.67
2024-01-01 04:50:00,35.38,25.97,387.78,826.15,Azure,us-west,B1s,1,1.0,0.012,no_action,269.12,619.37,0.018,30.68
2024-01-01 04:55:00,43.48,79.88,203.36,937.68,AWS,asia-south,t2.micro,1,1.0,0.0116,no_action,236.14,1288.54,0.0174,61.68
2024-01-01 05:00:00,77.58,77.91,96.41,912.3,Azure,us-west,B1s,1,1.0,0.012,no_action,235.31,1555.95,0.018,77.75
2024-01-01 05:05:00,38.8,90.6,225.14,109.75,Azure,asia-south,t2.micro,1,1.0,0.0116,scale_up,238.54,1287.49,0.0174,64.7
2024-01-01 05:10:00,95.55,61.61,334.33,503.6,AWS,us-west,t2.micro,1,1.0,0.0116,scale_up,211.36,1510.89,0.0174,78.58
2024-01-01 05:15:00,70.53,77.71,406.21,810.66,Azure,asia-south,t2.micro,1,1.0,0.0116,no_action,225.76,1437.54,0.0174,74.12
2024-01-01 05:20:00,15.18,59.46,248.69,898.93,Azure,us-west,n1-standard-1,1,3.75,0.0475,no_action,254.43,730.33,0.1366,37.32
2024-01-01 05:25:00,22.87,78.54,328.2,191.01,AWS,us-east,n1-standard-1,1,3.75,0.0475,no_action,251.74,988.75,0.1366,50.71
2024-01-01 05:30:00,16.55,83.97,367.81,173.21,GCP,us-east,t2.micro,1,1.0,0.0116,no_action,235.26,934.83,0.0174,50.26
2024-01-01 05:35:00,83.15,95.25,493.7,778.04,AWS,asia-south,t2.micro,1,1.0,0.0116,scale_up,203.62,1773.33,0.0174,89.2
2024-01-01 05:40:00,79.94,60.26,240.9,915.72,AWS,asia-south,n1-standard-1,1,3.75,0.0475,no_action,229.71,1351.87,0.1366,70.1
2024-01-01 05:45:00,11.02,52.18,75.34,206.94,AWS,asia-south,t2.micro,1,1.0,0.0116,no_action,271.63,590.64,0.0174,31.6
2024-01-01 05:50:00,77.14,62.5,482.98,437.38,AWS,asia-south,n1-standard-1,1,3.75,0.0475,no_action,237.08,1376.34,0.1366,69.82
2024-01-01 05:55:00,30.12,96.69,55.47,972.89,Azure,us-east,n1-standard-1,1,3.75,0.0475,scale_up,238.84,1268.73,0.1366,63.41
2024-01-01 06:00:00,16.64,59.85,486.19,570.79,Azure,asia-south,n1-standard-1,1,3.75,0.0475,no_action,276.27,812.86,0.1366,38.25
2024-01-01 06:05:00,50.91,66.48,312.94,911.04,AWS,asia-south,B1s,1,1.0,0.012,no_action,263.2,1133.49,0.018,58.7
2024-01-01 06:10:00,34.96,26.93,258.66,418.02,Azure,us-east,B1s,1,1.0,0.012,no_action,261.46,626.42,0.018,30.95
2024-01-01 06:15:00,97.7,98.76,364.17,582.49,GCP,us-west,B1s,1,1.0,0.012,scale_up,211.27,1935.75,0.018,98.23
2024-01-01 06:20:00,71.63,24.64,459.92,840.28,Azure,us-west,n1-standard-1,1,3.75,0.0475,no_action,238.66,1054.27,0.1366,48.13
2024-01-01 06:25:00,93.95,87.95,70.35,123.73,Azure,us-west,t2.micro,1,1.0,0.0116,scale_up,220.84,1795.54,0.0174,90.95
2024-01-01 06:30:00,98.85,23.54,317.36,442.8,AWS,us-east,t2.micro,1,1.0,0.0116,scale_up,237.66,1285.79,0.0174,61.19
2024-01-01 06:35:00,47.33,34.61,75.37,878.25,GCP,us-east,B1s,1,1.0,0.012,no_action,259.08,821.75,0.018,40.97
2024-01-01 06:40:00,79.21,95.03,432.34,322.61,Azure,us-east,B1s,1,1.0,0.012,scale_up,202.2,1735.28,0.018,87.12
2024-01-01 06:45:00,95.86,64.56,152.89,704.53,AWS,us-east,t2.micro,1,1.0,0.0116,scale_up,204.45,1668.08,0.0174,80.21
2024-01-01 06:50:00,20.22,70.44,284.14,795.09,Azure,asia-south,t2.micro,1,1.0,0.0116,no_action,266.46,909.98,0.0174,45.33
2024-01-01 06:55:00,59.67,60.48,444.49,463.13,AWS,us-east,t2.micro,1,1.0,0.0116,no_action,246.38,1269.93,0.0174,60.08
2024-01-01 07:00:00,73.37,29.17,111.37,113.09,GCP,us-east,B1s,1,1.0,0.012,no_action,259.31,937.46,0.018,51.27
2024-01-01 07:05:00,45.3,49.37,456.87,413.43,AWS,us-west,B1s,1,1.0,0.012,no_action,267.69,950.4,0.018,47.33
2024-01-01 07:10:00,45.69,65.99,438.06,954.57,GCP,us-east,B1s,1,1.0,0.012,no_action,227.13,1114.02,0.018,55.84
2024-01-01 07:15:00,51.32,98.2,271.68,395.88,AWS,asia-south,B1s,1,1.0,0.012,scale_up,212.2,1528.68,0.018,74.76
2024-01-01 07:20:00,16.83,21.6,107.62,236.71,Azure,us-west,t2.micro,1,1.0,0.0116,scale_down,284.45,337.31,0.0174,19.21
2024-01-01 07:25:00,26.37,41.11,453.55,526.57,GCP,us-west,t2.micro,1,1.0,0.0116,no_action,256.4,700.0,0.0174,33.74
2024-01-01 07:30:00,27.31,13.68,126.02,350.73,AWS,us-east,B1s,1,1.0,0.012,scale_down,278.43,358.14,0.018,20.49
2024-01-01 07:35:00,28.57,42.78,276.54,721.36,GCP,us-west,n1-standard-1,1,3.75,0.0475,no_action,257.33,724.2,0.1366,35.67
2024-01-01 07:40:00,88.62,92.88,77.49,349.19,GCP,us-west,B1s,1,1.0,0.012,scale_up,215.39,1852.88,0.018,90.75
2024-01-01 07:45:00,26.61,28.84,216.71,536.07,AWS,asia-south,B1s,1,1.0,0.012,scale_down,257.12,622.84,0.018,27.73
2024-01-01 07:50:00,51.63,77.27,66.51,327.19,Azure,us-east,t2.micro,1,1.0,0.0116,no_action,241.32,1304.56,0.0174,64.45
2024-01-01 07:55:00,56.05,57.89,98.23,502.67,GCP,asia-south,n1-standard-1,1,3.75,0.0475,no_action,226.97,1149.57,0.1366,56.97
2024-01-01 08:00:00,34.23,43.96,59.03,389.87,AWS,us-east,t2.micro,1,1.0,0.0116,no_action,254.44,727.82,0.0174,39.09
2024-01-01 08:05:00,20.78,90.15,317.12,711.19,AWS,asia-south,n1-standard-1,1,3.75,0.0475,scale_up,244.46,1183.3,0.1366,55.47
2024-01-01 08:10:00,17.82,58.34,314.08,770.9,AWS,us-west,t2.micro,1,1.0,0.0116,no_action,251.55,752.08,0.0174,38.08
2024-01-01 08:15:00,35.54,42.68,340.66,613.7,GCP,us-west,t2.micro,1,1.0,0.0116,no_action,246.9,810.35,0.0174,39.11
2024-01-01 08:20:00,19.16,23.76,160.68,244.61,AWS,us-west,B1s,1,1.0,0.012,scale_down,272.62,386.0,0.018,21.46
2024-01-01 08:25:00,25.6,90.71,86.11,572.06,AWS,us-east,B1s,1,1.0,0.012,scale_up,244.55,1160.59,0.018,58.16
2024-01-01 08:30:00,20.08,45.81,486.26,878.96,Azure,us-east,t2.micro,1,1.0,0.0116,no_action,261.29,696.67,0.0174,32.95
2024-01-01 08:35:00,25.38,70.18,468.22,601.09,AWS,us-east,n1-standard-1,1,3.75,0.0475,no_action,235.53,982.77,0.1366,47.78
2024-01-01 08:40:00,79.25,26.83,195.66,482.89,GCP,us-west,t2.micro,1,1.0,0.0116,no_action,230.68,1063.2,0.0174,53.04
2024-01-01 08:45:00,20.34,64.96,179.88,623.11,GCP,us-east,t2.micro,1,1.0,0.0116,no_action,256.69,792.45,0.0174,42.65
2024-01-01 08:50:00,57.93,14.66,201.47,220.97,GCP,us-east,n1-standard-1,1,3.75,0.0475,no_action,273.77,697.06,0.1366,36.3
2024-01-01 08:55:00,32.92,71.34,392.1,636.07,GCP,us-west,n1-standard-1,1,3.75,0.0475,no_action,223.15,1002.76,0.1366,52.13
2024-01-01 09:00:00,41.4,93.66,423.78,968.52,GCP,asia-south,B1s,1,1.0,0.012,scale_up,236.18,1320.4,0.018,67.53
2024-01-01 09:05:00,94.45,26.31,79.92,767.01,Azure,asia-south,B1s,1,1.0,0.012,scale_up,251.3,1220.32,0.018,60.38
2024-01-01 09:10:00,22.58,81.57,140.73,247.29,GCP,us-east,t2.micro,1,1.0,0.0116,no_action,251.87,1020.45,0.0174,52.07
2024-01-01 09:15:00,69.87,57.08,211.47,889.48,GCP,us-east,t2.micro,1,1.0,0.0116,no_action,248.54,1249.1,0.0174,63.48
2024-01-01 09:20:00,49.52,43.92,258.21,371.24,Azure,asia-south,B1s,1,1.0,0.012,no_action,253.46,1018.22,0.018,46.72
2024-01-01 09:25:00,30.9,90.96,222.75,589.2,AWS,asia-south,n1-standard-1,1,3.75,0.0475,scale_up,241.43,1257.14,0.1366,60.93
2024-01-01 09:30:00,20.52,94.58,332.47,401.42,AWS,us-east,B1s,1,1.0,0.012,scale_up,245.83,1130.24,0.018,57.55
2024-01-01 09:35:00,65.81,58.01,452.25,809.74,GCP,asia-south,B1s,1,1.0,0.012,no_action,233.5,1195.71,0.018,61.91
2024-01-01 09:40:00,32.36,76.96,65.09,612.9,AWS,us-east,B1s,1,1.0,0.012,no_action,250.13,1109.88,0.018,54.66
2024-01-01 09:45:00,40.79,83.91,99.78,861.81,AWS,us-east,t2.micro,1,1.0,0.0116,no_action,234.95,1198.06,0.0174,62.35
2024-01-01 09:50:00,81.76,23.49,153.16,750.03,Azure,us-east,B1s,1,1.0,0.012,no_action,256.07,1120.28,0.018,52.62
2024-01-01 09:55:00,72.46,58.85,163.31,411.13,AWS,us-west,t2.micro,1,1.0,0.0116,no_action,216.56,1387.9,0.0174,65.66
2024-01-01 10:00:00,51.58,95.26,119.01,627.61,Azure,us-east,B1s,1,1.0,0.012,scale_up,251.04,1474.86,0.018,73.42
2024-01-01 10:05:00,11.63,88.49,469.45,608.62,Azure,us-east,B1s,1,1.0,0.012,scale_up,254.75,1012.39,0.018,50.06
2024-01-01 10:10:00,73.65,23.73,309.33,646.04,AWS,us-west,B1s,1,1.0,0.012,no_action,267.24,948.24,0.018,48.69
2024-01-01 10:15:00,94.09,93.3,252.88,201.91,Azure,asia-south,B1s,1,1.0,0.012,scale_up,206.86,1928.61,0.018,93.69
2024-01-01 10:20:00,63.21,45.91,74.64,401.68,GCP,us-west,t2.micro,1,1.0,0.0116,no_action,235.32,1008.46,0.0174,54.56
2024-01-01 10:25:00,58.37,92.79,205.86,412.26,Azure,asia-south,n1-standard-1,1,3.75,0.0475,scale_up,221.06,1595.05,0.1366,75.58
2024-01-01 10:30:00,30.21,50.72,113.39,258.75,AWS,us-west,n1-standard-1,1,3.75,0.0475,no_action,232.57,806.59,0.1366,40.47
2024-01-01 10:35:00,92.34,42.62,311.26,669.04,AWS,asia-south,B1s,1,1.0,0.012,scale_up,229.83,1294.27,0.018,67.48
2024-01-01 10:40:00,17.68,99.72,275.99,635.85,GCP,us-west,n1-standard-1,1,3.75,0.0475,scale_up,241.44,1172.79,0.1366,58.7
2024-01-01 10:45:00,28.89,90.82,142.31,271.62,AWS,us-east,n1-standard-1,1,3.75,0.0475,scale_up,239.82,1169.93,0.1366,59.85
2024-01-01 10:50:00,60.84,15.91,398.99,507.96,Azure,asia-south,t2.micro,1,1.0,0.0116,no_action,235.12,822.08,0.0174,38.38
2024-01-01 10:55:00,46.07,60.37,119.86,263.74,AWS,asia-south,t2.micro,1,1.0,0.0116,no_action,232.7,1025.51,0.0174,53.22
2024-01-01 11:00:00,67.96,46.79,61.42,240.54,Azure,us-west,t2.micro,1,1.0,0.0116,no_action,251.98,1211.08,0.0174,57.38
2024-01-01 11:05:00,12.44,29.98,153.98,704.7,GCP,us-east,t2.micro,1,1.0,0.0116,scale_down,273.54,448.67,0.0174,21.21
2024-01-01 11:10:00,68.75,31.44,94.75,318.85,GCP,us-west,t2.micro,1,1.0,0.0116,no_action,257.01,1024.11,0.0174,50.09
2024-01-01 11:15:00,84.72,45.75,350.64,284.49,GCP,asia-south,B1s,1,1.0,0.012,no_action,240.7,1289.22,0.018,65.23
2024-01-01 11:20:00,11.17,17.7,143.55,123.88,GCP,asia-south,B1s,1,1.0,0.012,scale_down,288.83,226.14,0.018,14.43
2024-01-01 11:25:00,47.93,90.34,417.85,407.64,Azure,us-east,B1s,1,1.0,0.012,scale_up,223.82,1312.28,0.018,69.14
2024-01-01 11:30:00,63.13,34.13,330.87,468.47,Azure,us-west,B1s,1,1.0,0.012,no_action,230.55,1057.42,0.018,48.63
2024-01-01 11:35:00,36.5,95.36,393.62,226.1,AWS,us-east,n1-standard-1,1,3.75,0.0475,scale_up,233.69,1373.77,0.1366,65.93
2024-01-01 11:40:00,90.51,81.99,241.35,120.22,AWS,us-east,B1s,1,1.0,0.012,scale_up,216.83,1639.49,0.018,86.25
2024-01-01 11:45:00,67.01,33.21,112.71,851.44,Azure,us-east,n1-standard-1,1,3.75,0.0475,no_action,250.07,1019.58,0.1366,50.11
2024-01-01 11:50:00,25.45,34.51,58.28,922.87,GCP,asia-south,t2.micro,1,1.0,0.0116,no_action,271.98,550.68,0.0174,29.98
2024-01-01 11:55:00,34.66,59.88,343.14,846.77,Azure,us-west,t2.micro,1,1.0,0.0116,no_action,255.29,994.53,0.0174,47.27
2024-01-01 12:00:00,64.05,69.85,128.92,922.97,Azure,asia-south,n1-standard-1,1,3.75,0.0475,no_action,214.64,1275.02,0.1366,66.95
2024-01-01 12:05:00,56.7,14.23,124.83,764.23,Azure,us-west,n1-standard-1,1,3.75,0.0475,no_action,266.4,671.53,0.1366,35.47
2024-01-01 12:10:00,32.08,45.04,179.91,420.11,AWS,us-east,B1s,1,1.0,0.012,no_action,251.68,823.88,0.018,38.56
2024-01-01 12:15:00,60.98,52.84,348.65,943.15,GCP,us-west,t2.micro,1,1.0,0.0116,no_action,234.51,1173.22,0.0174,56.91
2024-01-01 12:20:00,12.81,33.6,317.79,146.28,AWS,us-west,t2.micro,1,1.0,0.0116,no_action,302.4,459.3,0.0174,23.21
2024-01-01 12:25:00,40.08,79.38,97.97,167.62,Azure,us-west,t2.micro,1,1.0,0.0116,no_action,239.92,1283.14,0.0174,59.73
2024-01-01 12:30:00,71.96,49.13,160.88,837.19,Azure,us-west,B1s,1,1.0,0.012,no_action,245.78,1259.53,0.018,60.55
2024-01-01 12:35:00,34.49,63.12,212.44,182.42,Azure,us-west,B1s,1,1.0,0.012,no_action,250.45,1007.13,0.018,48.8
2024-01-01 12:40:00,26.66,58.77,442.83,759.0,AWS,us-east,t2.micro,1,1.0,0.0116,no_action,262.88,908.34,0.0174,42.72
2024-01-01 12:45:00,72.3,86.43,162.35,540.48,Azure,us-east,B1s,1,1.0,0.012,scale_up,224.93,1597.68,0.018,79.37
2024-01-01 12:50:00,26.25,61.12,461.97,130.55,AWS,us-west,B1s,1,1.0,0.012,no_action,245.5,926.36,0.018,43.69
2024-01-01 12:55:00,93.2,97.4,474.92,526.79,Azure,us-east,n1-standard-1,1,3.75,0.0475,scale_up,204.98,1907.49,0.1366,95.3
2024-01-01 13:00:00,38.72,84.6,66.65,636.64,AWS,us-east,n1-standard-1,1,3.75,0.0475,no_action,234.0,1217.74,0.1366,61.66
2024-01-01 13:05:00,16.93,72.67,202.94,752.29,GCP,us-east,n1-standard-1,1,3.75,0.0475,no_action,253.33,874.01,0.1366,44.8
2024-01-01 13:10:00,58.55,81.17,193.44,663.3,AWS,asia-south,t2.micro,1,1.0,0.0116,no_action,232.81,1441.68,0.0174,69.86
2024-01-01 13:15:00,30.97,12.2,441.54,119.14,Azure,us-east,n1-standard-1,1,3.75,0.0475,no_action,279.24,484.97,0.1366,21.59
2024-01-01 13:20:00,94.52,81.89,499.07,415.64,Azure,us-west,B1s,1,1.0,0.012,scale_up,206.62,1834.57,0.018,88.2
2024-01-01 13:25:00,53.19,66.48,443.15,985.68,Azure,us-east,t2.micro,1,1.0,0.0116,no_action,235.71,1269.37,0.0174,59.84
2024-01-01 13:30:00,47.92,76.38,157.45,199.43,AWS,us-east,n1-standard-1,1,3.75,0.0475,no_action,224.41,1197.07,0.1366,62.15
2024-01-01 13:35:00,36.67,31.02,68.94,116.09,AWS,us-east,B1s,1,1.0,0.012,no_action,265.81,688.61,0.018,33.84
2024-01-01 13:40:00,44.59,71.17,148.21,954.97,GCP,us-west,B1s,1,1.0,0.012,no_action,251.96,1146.9,0.018,57.88
2024-01-01 13:45:00,95.03,52.07,326.04,250.33,Azure,us-east,n1-standard-1,1,3.75,0.0475,scale_up,228.11,1495.62,0.1366,73.55
2024-01-01 13:50:00,64.7,56.14,153.8,258.88,AWS,asia-south,t2.micro,1,1.0,0.0116,no_action,233.35,1180.63,0.0174,60.42
2024-01-01 13:55:00,80.16,41.51,76.03,972.19,GCP,us-east,n1-standard-1,1,3.75,0.0475,no_action,253.37,1188.16,0.1366,60.83
2024-01-01 14:00:00,72.64,23.85,417.12,302.0,AWS,us-east,n1-standard-1,1,3.75,0.0475,no_action,253.78,889.11,0.1366,48.25
2024-01-01 14:05:00,63.36,62.21,91.17,889.71,GCP,us-west,t2.micro,1,1.0,0.0116,no_action,231.09,1236.31,0.0174,62.78
2024-01-01 14:10:00,89.99,96.01,437.96,828.56,AWS,us-east,B1s,1,1.0,0.012,scale_up,213.59,1960.51,0.018,93.0
2024-01-01 14:15:00,17.83,46.76,217.71,333.78,AWS,us-west,n1-standard-1,1,3.75,0.0475,no_action,267.37,735.63,0.1366,32.3
2024-01-01 14:20:00,17.29,29.82,357.47,168.52,GCP,us-east,n1-standard-1,1,3.75,0.0475,scale_down,276.28,530.52,0.1366,23.55
2024-01-01 14:25:00,53.25,63.32,421.11,413.03,GCP,asia-south,B1s,1,1.0,0.012,no_action,248.53,1258.04,0.018,58.28
2024-01-01 14:30:00,34.03,89.08,408.84,692.61,GCP,asia-south,B1s,1,1.0,0.012,scale_up,246.65,1256.46,0.018,61.55
2024-01-01 14:35:00,72.77,71.21,328.38,777.44,GCP,us-east,t2.micro,1,1.0,0.0116,no_action,226.34,1447.14,0.0174,71.99
2024-01-01 14:40:00,40.16,76.92,122.34,836.17,GCP,us-east,B1s,1,1.0,0.012,no_action,241.75,1234.72,0.018,58.54
2024-01-01 14:45:00,10.57,35.83,327.62,983.07,GCP,us-east,t2.micro,1,1.0,0.0116,no_action,263.2,501.31,0.0174,23.2
2024-01-01 14:50:00,67.06,58.6,400.93,196.28,Azure,us-west,n1-standard-1,1,3.75,0.0475,no_action,239.66,1335.47,0.1366,62.83
2024-01-01 14:55:00,96.67,40.77,334.68,938.83,Azure,us-west,n1-standard-1,1,3.75,0.0475,scale_up,226.82,1384.1,0.1366,68.72
2024-01-01 15:00:00,37.09,73.74,80.31,623.95,Azure,asia-south,t2.micro,1,1.0,0.0116,no_action,256.54,1032.14,0.0174,55.41
2024-01-01 15:05:00,14.12,88.44,488.07,971.99,GCP,asia-south,t2.micro,1,1.0,0.0116,scale_up,243.13,1044.46,0.0174,51.28
2024-01-01 15:10:00,78.24,12.21,59.96,391.25,GCP,us-east,B1s,1,1.0,0.012,no_action,270.43,901.21,0.018,45.22
